assembly_no,label,type
243,elbow_099,elbow
244,pipeline_122,pipeline
245,pipeline_123,pipeline
246,elbow_100,elbow
247,elbow_101,elbow
248,pipeline_124,pipeline
249,pipeline_125,pipeline
250,pipeline_126,pipeline
251,pipeline_127,pipeline
252,blackbox_022,blackbox
253,blackbox_023,blackbox
254,pipeline_128,pipeline
255,elbow_102,elbow
256,pipeline_129,pipeline
257,elbow_103,elbow
258,pipeline_130,pipeline
259,elbow_104,elbow
260,pipeline_131,pipeline
261,elbow_105,elbow
262,pipeline_132,pipeline
263,elbow_106,elbow
264,tank_003,tank
265,pipeline_133,pipeline
266,elbow_107,elbow
267,pipeline_134,pipeline
268,elbow_108,elbow
269,pipeline_135,pipeline
270,elbow_109,elbow
271,pipeline_136,pipeline
272,pipeline_137,pipeline
273,pipeline_138,pipeline
274,pipeline_139,pipeline
275,elbow_110,elbow
276,pipeline_140,pipeline
277,elbow_111,elbow
278,pipeline_141,pipeline
279,elbow_112,elbow
280,pipeline_142,pipeline
281,elbow_113,elbow
282,pipeline_143,pipeline
283,elbow_114,elbow
284,elbow_115,elbow
285,pipeline_144,pipeline
286,elbow_116,elbow
287,pipeline_145,pipeline
288,elbow_117,elbow
